id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
34136794,2705393,613,0.258,"","","","","","",""
34136746,2705393,205,4.81,"","","","","","",""
34136758,2705393,306,158,"","","","","","",""
34136768,2705393,328,0.5,"","","","","","",""
34136808,2705393,646,0.033,"","","","","","",""
34136769,2705393,334,0,"","","","","","",""
34136793,2705393,612,0.089,"","","","","","",""
34136800,2705393,621,0,"","","","","","",""
34136771,2705393,338,0,"","","","","","",""
34136775,2705393,406,0.128,"","","","","","",""
34136745,2705393,204,1.08,"","","","","","",""
34136806,2705393,631,0,"","","","","","",""
34136744,2705393,203,3.46,"","","","","","",""
34136788,2705393,607,0.029,"","","","","","",""
34136803,2705393,628,0,"","","","","","",""
34136750,2705393,262,0,"","","","","","",""
34136786,2705393,601,5,"","","","","","",""
34136807,2705393,645,0.199,"","","","","","",""
34136764,2705393,320,36,"","","","","","",""
34136774,2705393,405,0.196,"","","","","","",""
34136796,2705393,617,0.221,"","","","","","",""
34136801,2705393,626,0.02,"","","","","","",""
34136779,2705393,421,17.7,"","","","","","",""
34136751,2705393,263,0,"","","","","","",""
34136763,2705393,319,36,"","","","","","",""
